Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2016-05-01","France","FRA","250","Europe","150","Western Europe","155","25162000","Sandstone","Kgs","3047.5","195.12","0.29"
"2020-12-01","Spain","ESP","724","Europe","150","Southern Europe","39","90230090","Othr Demonstration Aids","Nos","0.83","4.64","0.01"
"2018-04-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","74199990","*Others","Kgs","","0.01",""
"2024-10-01","Belgium","BEL","56","Europe","150","Western Europe","155","84822011","Tappered Roller Bearings(Radial Type) <=50 Mm Or 2 Inches Bore Diameter","Nos","21161.0","0.86","0.1"
"2025-07-01","Italy","ITA","380","Europe","150","Southern Europe","39","90278990","Other","Nos","304.0","0.05","0.01"
"2020-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","76121090","Collapsible Tubular Containers :Other","Kgs","5.19","56.8","0.08"
"2021-02-01","Ireland","IRL","372","Europe","150","Northern Europe","154","90015000","Spectacle Lenses Of Othr Materials","Nos","6.68","16.21","0.02"
"2021-03-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","83099020","Aluminium Caps And Closures","Kgs","2.62","22.29","0.03"
"2024-05-01","Czechia","CZE","203","Europe","150","Eastern Europe","151","39174000","Fittings For Tubes Pipes And Hoses Of Plstc","Kgs","70.0","0.01","0.0"
"2015-09-01","Luxembourg","LUX","442","Europe","150","Western Europe","155","73269099","All Other Articles Of Iron/Steel Nes Other Steering Or Rudder Equipment For Ships And Boats, N.E.S.","Kgs","0.8","0.88","0.0"
"2025-06-01","Spain","ESP","724","Europe","150","Southern Europe","39","29159092","Octoic Acid (Caprylic Acid)","Kgs","19920.0","1.04","0.12"
"2019-09-01","France","FRA","250","Europe","150","Western Europe","155","42022210","Hnd Bgs/Shppng Bgs Of Artfcl Plstc Mtrl","Nos","0.93","22.53","0.03"
"2020-07-01","Albania","ALB","8","Europe","150","Southern Europe","39","90185090","Ophthalmic Surgical Instrmnt And Appliances","Nos","0.26","0.51","0.0"
"2015-04-01","Germany","DEU","276","Europe","150","Western Europe","155","29221990","Other","Kgs","12.27","69.11","0.11"
"2017-11-01","Denmark","DNK","208","Europe","150","Northern Europe","154","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs","9.4","166.37","0.26"
"2020-02-01","Germany","DEU","276","Europe","150","Western Europe","155","63071090","Others","Kgs","6.04","28.0","0.04"
"2016-03-01","Germany","DEU","276","Europe","150","Western Europe","155","29309099","Other Organo-Sulphur Compnds","Kgs","28.4","1058.48","1.58"
"2019-01-01","Germany","DEU","276","Europe","150","Western Europe","155","84689000","Parts Of Articles Of Heading 8468","Kgs","10.85","45.13","0.06"
"2019-08-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","61051090","Other Shirts Of Cotton","Nos","10.13","39.14","0.06"
"2021-10-01","France","FRA","250","Europe","150","Western Europe","155","57019090","Crpts And Flr Cvrngs Knottd Othr Than Cotton","Sqm","0.23","11.52","0.02"
"2021-03-01","Ireland","IRL","372","Europe","150","Northern Europe","154","29397910","*Nicotine","Kgs","2.0","136.04","0.19"
"2020-07-01","Belgium","BEL","56","Europe","150","Western Europe","155","72202029","Strips For Pipes And Tubes(Othr Thn Skelp) Othr Types","Kgs","97.0","221.62","0.3"
"2019-12-01","Switzerland","CHE","756","Europe","150","Western Europe","155","85366190","Lmp Hldrs Of Othr Matrls","Nos","71.7","11.9","0.02"
"2018-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","52091220","Shirting Fabrics","Sqm","0.57","0.42","0.0"
"2015-01-01","Ireland","IRL","372","Europe","150","Northern Europe","154","76151030","Other Table, Kitchen Or Other Household Articles","Kgs","8.34","21.58","0.03"
"2018-09-01","Switzerland","CHE","756","Europe","150","Western Europe","155","63029190","Other Bed Linen, Table Lenen, Toilet Linen, Kitchen Linen: Of Cotton, Other Than Handloom","Kgs","0.3","0.8","0.0"
"2025-03-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","87089300","Clutches And Prts Thereof","Kgs","4692.0","0.33","0.04"
"2021-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","8109050","Bore","Kgs","9.02","13.89","0.02"
"2018-12-01","Norway","NOR","578","Europe","150","Northern Europe","154","61083990","Nightdresses And Pyjamas Of Othr Fibres","Nos","3.47","10.41","0.01"
"2025-01-01","Spain","ESP","724","Europe","150","Southern Europe","39","52041120","Cotton Thread,Darning","Kgs","90.0","0.0","0.0"
"2024-12-01","France","FRA","250","Europe","150","Western Europe","155","57050022","Durries Of Man-Made Fibres","Sqm","24.0","0.01","0.0"
"2021-03-01","Bosnia and Herzegovina","BIH","70","Europe","150","Southern Europe","39","84212900","Othr Fltrng/Purfyng Mchnry And Apprts Fr Lqd","Nos","0.1","0.2","0.0"
"2024-04-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","64062000","Outer Soles And Heels Of Rbber/Plstcs","Kgs","1866.0","0.35","0.04"
"2021-04-01","Netherlands Antilles","None","None","Europe","150","Western Europe","155","62044400","Dresses Of Artificial Fibres","Nos","16.56","94.18","0.13"
"2024-09-01","Switzerland","CHE","756","Europe","150","Western Europe","155","85423900","Other","Nos","1.0","0.0","0.0"
"2017-02-01","Greece","GRC","300","Europe","150","Southern Europe","39","72023000","Ferro-Silico-Manganese","Kgs","300.0","215.11","0.32"
"2018-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","30049073","Losartan","Kgs","0.14","5.59","0.01"
"2017-11-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","94043090","Othr Sleeping Bags","Nos","21.99","93.1","0.14"
"2015-09-01","Switzerland","CHE","756","Europe","150","Western Europe","155","87142090","Other","Kgs","1.45","5.55","0.01"
"2015-12-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","38231190","*0Ther Stearic Acid/Stearin","Kgs","3.0","1.6","0.0"
"2024-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","84314990","Prts Of Othr Macnry Of Hd 8426,8429,8430","Kgs","53948.0","1.37","0.16"
"2021-03-01","Italy","ITA","380","Europe","150","Southern Europe","39","90189099","Othr Srgcl Instrmnts And Applncs (Incl Vtrnry)","Nos","33.57","115.06","0.16"
"2021-05-01","Norway","NOR","578","Europe","150","Northern Europe","154","57019090","Crpts And Flr Cvrngs Knottd Othr Than Cotton","Sqm","0.46","7.44","0.01"
"2021-06-01","Austria","AUT","40","Europe","150","Western Europe","155","94031090","Others","Kgs","0.11","0.23","0.0"
"2018-01-01","Spain","ESP","724","Europe","150","Southern Europe","39","84141000","Vacuum Pumps","Nos","0.0","5.89","0.01"
"2024-07-01","Switzerland","CHE","756","Europe","150","Western Europe","155","19021900","Othr Uncookd Notstfd/Othrwse Prpd Psta","Kgs","151.0","0.0","0.0"
"2025-05-01","Italy","ITA","380","Europe","150","Southern Europe","39","62022090","Others","Nos","4.0","0.0","0.0"
"2024-12-01","Italy","ITA","380","Europe","150","Southern Europe","39","87131010","Wheel Chairs Fr Invalid Nt Mchncly Prpld","Nos","522.0","0.65","0.08"
"2024-10-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","72230092","Wire Of Stains Stl Of Thckns 1.5 To 0.46Mm","Kgs","53174.0","1.7","0.2"
"2019-05-01","France","FRA","250","Europe","150","Western Europe","155","17049030","Toffees,Caramels And Sim Sweets","Kgs","0.02","0.03",""
"2019-11-01","Serbia","SRB","688","Europe","150","Southern Europe","39","30049079","Other Antihypertensive Drugs","Kgs","0.15","15.42","0.02"
"2024-05-01","Sweden","SWE","752","Europe","150","Northern Europe","154","73239990","Other Household Utensils And Its Parts N.E.S","Nos","13042.0","0.09","0.01"
"2016-04-01","Estonia","EST","233","Europe","150","Northern Europe","154","62044400","Dresses Of Artificial Fibres","Nos","46.31","252.87","0.38"
"2021-09-01","Portugal","PRT","620","Europe","150","Southern Europe","39","61051010","Cotton Shirts,Hand Crocheted","Nos","7.37","32.64","0.04"
"2021-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","61142000","Other Garments Of Cotton","Kgs","14.25","154.21","0.21"
"2015-09-01","Sweden","SWE","752","Europe","150","Northern Europe","154","7122000","Onions Dried","Kgs","107.77","157.11","0.24"
"2025-01-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","73079190","Non-Galvanised","Kgs","4.0","0.02","0.0"
"2017-01-01","Denmark","DNK","208","Europe","150","Northern Europe","154","95069960","Sports Nets","Nos","0.1","0.56","0.0"
"2021-03-01","Denmark","DNK","208","Europe","150","Northern Europe","154","87089100","Radiators","Kgs","0.12","0.2","0.0"
"2019-09-01","Greece","GRC","300","Europe","150","Southern Europe","39","61045200","Skirts And Divided Skirts Of Cotton","Nos","0.7","2.31","0.0"
"2025-03-01","France","FRA","250","Europe","150","Western Europe","155","56079010","Coir, Cordage And Ropes Othr Than Cotton","Kgs","15467.0","0.15","0.02"
"2015-12-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","39202090","Pltes Shts Of Polymrs Of Propyln Nes","Kgs","44.98","87.46","0.13"
"2021-04-01","Bulgaria","BGR","100","Europe","150","Eastern Europe","151","40139090","Inner Tubes Used In Other Vehicles","Nos","0.04","0.17","0.0"
"2021-03-01","Belarus","BLR","112","Europe","150","Eastern Europe","151","32041759","Others Pigment Blue","Kgs","10.0","44.39","0.06"
"2018-08-01","Germany","DEU","276","Europe","150","Western Europe","155","52054810","Grey","Kgs","63.81","437.72","0.63"
"2019-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","85044010","Electric Inverters","Nos","0.0","1.39","0.0"
"2020-09-01","Germany","DEU","276","Europe","150","Western Europe","155","8028020","Split","Kgs","0.17","1.11","0.0"
"2019-10-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","74181022","Of Copper","Kgs","0.03","0.18","0.0"
"2025-07-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","90012000","Sheets And Plates Of Polarising Material","Kgs","11.0","0.06","0.01"
"2015-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","29333919","Other Derivatives Of Pyradine","Kgs","0.01","0.12","0.0"
"2017-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","96035000","Othr Brshs Constng Prts Of Mchns,Vhcls Etc","Nos","7.4","0.97","0.0"
"2019-01-01","Germany","DEU","276","Europe","150","Western Europe","155","41139000","Leather Further Of Other Animals","Kgs","0.02","0.71","0.0"
"2019-10-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","29225090","Other Frusemide Aminodial Domperidone","Kgs","0.15","10.24","0.01"
"2020-10-01","Slovakia","SVK","703","Europe","150","Eastern Europe","151","96035000","Othr Brshs Constng Prts Of Mchns,Vhcls Etc","Nos","0.01","0.3","0.0"
"2021-12-01","Germany","DEU","276","Europe","150","Western Europe","155","62061090","Women/Grls Blouses,Shrts And Shrt-Blouses Of Othr Fibres","Nos","1.37","3.55","0.0"
"2021-10-01","Ireland","IRL","372","Europe","150","Northern Europe","154","61102000","Jerseys Etc Of Cotton","Nos","37.55","253.79","0.34"
"2025-04-01","France","FRA","250","Europe","150","Western Europe","155","84099911","Valves,Inlet And Exhaust","Kgs","4.0","0.0","0.0"
"2018-09-01","Romania","ROU","642","Europe","150","Eastern Europe","151","30049011","Medicaments Of Ayurvedic System","Kgs","28.31","204.9","0.28"
"2015-09-01","Spain","ESP","724","Europe","150","Southern Europe","39","62044220","Dresses Of Cotton","Nos","116.33","593.31","0.9"
"2019-04-01","Serbia","SRB","688","Europe","150","Southern Europe","39","97030090","*Orignl Sclptrs And Statuary In Othr Matrls","Nos","0.21","0.23","0.0"
"2025-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","7122000","Onions Dried","Kgs","221362.0","3.59","0.42"
"2025-02-01","Germany","DEU","276","Europe","150","Western Europe","155","33049940","Sindur,Bindi,Kumkum","Kgs","1.0","0.0","0.0"
"2016-02-01","Germany","DEU","276","Europe","150","Western Europe","155","9042221","Powder","Kgs","2.0","12.32","0.02"
"2016-08-01","Finland","FIN","246","Europe","150","Northern Europe","154","40116300","*New Pnmtc Tyres Used On Constrn Or Industlvehicle/Machine With Rim Size More Than 61 Cww Having"Hr-Bon"Orsimi","Nos","0.0","0.55","0.0"
"2016-05-01","Sweden","SWE","752","Europe","150","Northern Europe","154","84399100","Parts Of Machinery For Making Pulp Of Fibrous Cellulosic Material","Kgs","0.8","14.83","0.02"
"2019-04-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","40129020","Solid Rubber Tyres For Other Vehivles","Kgs","0.03","1.24","0.0"
"2021-03-01","Finland","FIN","246","Europe","150","Northern Europe","154","13021919","Other Extracts","Kgs","0.03","1.76","0.0"
"2021-11-01","Slovenia","SVN","705","Europe","150","Southern Europe","39","29335400","Other Derivatives Of Malonylurea (Barbituric Acid ), Salts Thereof","Kgs","","0.02",""
"2017-11-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62093000","Babies Grmnts And Clothng Access Of Syn Fibr","Nos","42.79","156.03","0.24"
"2025-05-01","Poland","POL","616","Europe","150","Eastern Europe","151","11061010","Guar Meal","Kgs","144000.0","1.26","0.15"
"2018-11-01","France","FRA","250","Europe","150","Western Europe","155","85177090","*Othr Parts Of Telephonc/Telegrphc Apparts","Kgs","44.09","279.67","0.39"
"2017-08-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","3069400","Norway Lobsters Othn Thn Live Fresh Or Chilled","Kgs","46.07","139.83","0.22"
"2019-04-01","Switzerland","CHE","756","Europe","150","Western Europe","155","85030090","Parts Of Othr Rotating Electrc Plants","Kgs","1.91","0.86","0.0"
"2018-04-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","57050019","Carpets Othr Than Silk","Sqm","0.4","3.15","0.0"
"2018-04-01","Estonia","EST","233","Europe","150","Northern Europe","154","33059090","Othr Prpns For Use On Hair N.E.S.","Kgs","0.26","1.4","0.0"
"2016-03-01","Germany","DEU","276","Europe","150","Western Europe","155","10062000","Husked (Brown) Rice","Kgs","26.0","12.42","0.02"
"2019-06-01","Spain","ESP","724","Europe","150","Southern Europe","39","85072000","Other Lead-Acid Accumulators","Nos","3.55","178.13","0.26"
"2015-04-01","Italy","ITA","380","Europe","150","Southern Europe","39","84792090","Oil Seed Crushng/Grndng Mchnry (Including For Extrctn/Prpn Of Anml/Vgtbl Fatsandoils","Nos","0.02","27.89","0.04"
"2015-02-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","85176290","Other","Nos","0.03","180.5","0.29"
"2019-04-01","Norway","NOR","578","Europe","150","Northern Europe","154","8011210","Fresh Endocarp","Kgs","0.05","0.03",""
"2016-12-01","Spain","ESP","724","Europe","150","Southern Europe","39","63049241","Table Cloth And Table Covers Of Handloom","Nos","19.36","57.69","0.08"
"2015-10-01","Switzerland","CHE","756","Europe","150","Western Europe","155","57011000","*Carpets And Other Textile Floor Coverings Of Wool Or Fine Animal Hair, Knotted","Sqm","1.18","49.01","0.08"
"2020-09-01","Romania","ROU","642","Europe","150","Eastern Europe","151","84123100","Linear Acting (Cylinders),Pneumatic Power Engines And Motors","Nos","0.04","0.94","0.0"
"2017-06-01","Greece","GRC","300","Europe","150","Southern Europe","39","62114290","Cotn Grmnts Othr Thn Kurta And Salwar Wth Without Duppatta","Nos","63.92","150.15","0.23"
"2019-12-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","56075040","Nylon Rope","Kgs","4.31","10.85","0.02"
"2018-05-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","9041190","Othr Pepper Nthr Crshd Nor Grnd","Kgs","1.0","9.93","0.01"
"2019-05-01","France","FRA","250","Europe","150","Western Europe","155","9103020","Dry","Kgs","64.0","72.26","0.1"
"2017-02-01","Spain","ESP","724","Europe","150","Southern Europe","39","52091290","Others","Sqm","110.75","42.95","0.06"
"2015-04-01","Croatia","HRV","191","Europe","150","Southern Europe","39","39206210","Pltes Shts Etc Of Plyethyln Terephthalte Rigid, Plain","Kgs","10.02","9.09","0.01"
"2025-04-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","85423300","Amplifiers","Nos","17.0","4.79","0.56"
"2020-03-01","Bosnia and Herzegovina","BIH","70","Europe","150","Southern Europe","39","69109000","Othr Sanitary Fixtures(Excl Of Porcelain)","Kgs","1.0","1.44","0.0"
"2019-06-01","Germany","DEU","276","Europe","150","Western Europe","155","85123090","Others","Nos","0.0","0.02",""
"2016-05-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","29270090","Other Diazo-Azo-Or Azoxy-Compounds","Kgs","0.02","11.41","0.02"
"2018-05-01","Spain","ESP","724","Europe","150","Southern Europe","39","40094200","Tubes,Pipes,Andhoses Of Vulcnsd Rubr Reinforced Otherwse Combined With Other Matarials With Fittings","Kgs","8.67","95.54","0.14"
"2019-11-01","Denmark","DNK","208","Europe","150","Northern Europe","154","42029200","Other Articles With Outer Surface Of Plastic Sheeting Or Of Txtl Materials","Nos","6.89","30.9","0.04"
"2025-05-01","Germany","DEU","276","Europe","150","Western Europe","155","40070010","Thread Of Vulense Rubr,Not Covrd Elsewhere","Kgs","14948.0","0.78","0.09"
"2020-11-01","Germany","DEU","276","Europe","150","Western Europe","155","61046100","Trousers,Bib And Brace Overalls,Breeches And Shorts Of Wool/Fne Animal Hair","Nos","0.0","0.04",""
"2016-12-01","Poland","POL","616","Europe","150","Eastern Europe","151","52051110","Grey","Kgs","22.14","29.39","0.04"
"2017-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","73065000","Other,Welded,Of Circular Cross-Section, Of Other Alloy Steel Tube/Pipes","Kgs","436.0","188.57","0.29"
"2024-09-01","Lithuania","LTU","440","Europe","150","Northern Europe","154","29332990","Other Compnds Cntng An Unfused Imidazole Ring (W/N Hydrgntd ) In Structure","Kgs","3.0","0.02","0.0"
"2016-03-01","Poland","POL","616","Europe","150","Eastern Europe","151","61046990","Trousers,Bib And Brace Etc Of Other Fibres","Nos","51.7","67.55","0.1"
"2017-04-01","Denmark","DNK","208","Europe","150","Northern Europe","154","72224020","Angles Etc.Of Less Than 80 Mm","Kgs","57.0","96.1","0.15"
"2015-04-01","France","FRA","250","Europe","150","Western Europe","155","29081900","Other Derivtvs Containing Only Halogen Substituents And Their Salts","Kgs","3.5","453.55","0.72"
"2021-10-01","Croatia","HRV","191","Europe","150","Southern Europe","39","9011149","Coffee Rob Cherry Other Grade","Kgs","38.4","63.36","0.08"
"2015-12-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62089290","Grmnts Othr Thn Dressing Gowns And Bathrobes Of Man-Made Fibres","Nos","8.01","18.37","0.03"
"2015-06-01","Germany","DEU","276","Europe","150","Western Europe","155","73079910","Galvanised","Kgs","39.84","61.72","0.1"
"2018-03-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","29334900","Othe Cmpnds Cntng In Structure A Quinolineor Isoquinoline Ring System (W/N Hydrgntd),Not Further Fused","Kgs","0.03","1.25","0.0"
"2020-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","85366910","Plugs And Sockets Of Plstcs","Nos","3.9","1.87","0.0"
"2016-02-01","Germany","DEU","276","Europe","150","Western Europe","155","29171190","Other Salts And Esters Of Oxalic Acid","Kgs","20.01","110.96","0.16"
"2020-10-01","Finland","FIN","246","Europe","150","Northern Europe","154","7132020","Bengal Gram (Desi Chana)","Kgs","0.3","0.24","0.0"
"2018-01-01","Greece","GRC","300","Europe","150","Southern Europe","39","48025790","Other Paper","Kgs","24.0","15.75","0.02"
"2020-12-01","Belgium","BEL","56","Europe","150","Western Europe","155","28429090","Other Salts Of Inorganic Acids/ Peroxoacids","Kgs","0.01","0.53","0.0"
"2024-09-01","Sweden","SWE","752","Europe","150","Northern Europe","154","82053000","Planes,Chisels,Gauges And Smlr Cutting Toolsfor Working Wood","Nos","560.0","0.01","0.0"
"2018-07-01","Switzerland","CHE","756","Europe","150","Western Europe","155","32041555","Vat Blue 20 (Dark Blue 30)","Kgs","2.65","18.0","0.03"
"2018-10-01","Italy","ITA","380","Europe","150","Southern Europe","39","29329900","*Other Heterocyclic Compnds With Oxygen Hetero - Atom/S)","Kgs","16.34","73.23","0.1"
"2025-01-01","Poland","POL","616","Europe","150","Eastern Europe","151","85183019","Other Sound Channel Not Cnncted By Wire","Kgs","300.0","0.41","0.05"
"2025-07-01","Italy","ITA","380","Europe","150","Southern Europe","39","42022230","Jute Hand Bags/Shopping Bags.","Nos","50952.0","0.35","0.04"
"2017-07-01","Poland","POL","616","Europe","150","Eastern Europe","151","39140020","Ion-Exchanger Of The Polymerisation Or Copolymerisation Type","Kgs","45.0","24.07","0.04"
"2024-12-01","France","FRA","250","Europe","150","Western Europe","155","83089091","Other Maderup Of Articles For Garments Made Ups, Knitwear, Plasticandleather Goods","Kgs","3.0","0.01","0.0"
"2024-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","90303390","Others","Nos","1.0","0.0","0.0"
"2019-12-01","Sweden","SWE","752","Europe","150","Northern Europe","154","94039000","*Parts Of Furnitures Of Heading 9403","Kgs","34.5","67.57","0.09"
"2025-07-01","Romania","ROU","642","Europe","150","Eastern Europe","151","84329090","Parts Of Other Agricultural And Horticultural Machinery Of Hdg No 843280","Nos","551.0","0.09","0.01"
"2017-01-01","Germany","DEU","276","Europe","150","Western Europe","155","9041170","Freez Dried Green Pepper","Kgs","4.5","83.43","0.12"
"2025-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","87149600","Pedals And Crank-Gear And Prts Thereof","Kgs","1.0","0.0","0.0"
"2017-07-01","Denmark","DNK","208","Europe","150","Northern Europe","154","44029010","*Coconut Shell Charcoal","Mts","0.01","4.09","0.01"
"2017-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62046190","Othr Smlr Garments Of Wool/Fine Animl Hair","Nos","2.08","10.38","0.02"
"2019-12-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","42031090","Other Articles Of Apparel","Kgs","6.0","265.03","0.37"
"2025-06-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","44219970","Articles Of Densified Wood Not Included Or Specified Elsewhere","Kgs","56.0","0.0","0.0"
"2021-11-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","74181022","Of Copper","Kgs","0.03","0.82","0.0"
"2019-04-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","40169940","Rubber Blankets","Kgs","3.7","46.68","0.07"
"2016-05-01","Finland","FIN","246","Europe","150","Northern Europe","154","42032910","Gloves For Use In Industry","Kgs","6.0","55.24","0.08"
"2025-06-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","73218910","Clay Tandoor(Oven With Iron/Steel Body And Earthen Grats)","Kgs","7098.0","0.2","0.02"
"2025-06-01","Norway","NOR","578","Europe","150","Northern Europe","154","85399090","Others","Kgs","12.0","0.02","0.0"
"2025-03-01","Spain","ESP","724","Europe","150","Southern Europe","39","39269049","Othr Ring Buckl Tack Washr Othr Deco Fittnof Palstic Used Triming And Embellshmnt For Leathr Prod; Othr Pattern For","Kgs","15.0","0.0","0.0"
"2019-07-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","86090000","Containers Specially Designed Andequipped For Carriage By One/More Modes Of Trnsport","Nos","0.0","0.14","0.0"
"2020-08-01","Poland","POL","616","Europe","150","Eastern Europe","151","55092200","Multiple(Folded)/Cabled Yrn Cntng 85% Or More By Wt Of Polyestr Staple Fibres","Kgs","15.87","23.06","0.03"
"2024-06-01","Italy","ITA","380","Europe","150","Southern Europe","39","52081190","Others","Sqm","373198.0","2.55","0.31"
"2021-12-01","Slovenia","SVN","705","Europe","150","Southern Europe","39","74091900","Other Plates,Sheets Etc Of Refined Copper","Kgs","0.02","0.51","0.0"
"2024-04-01","Germany","DEU","276","Europe","150","Western Europe","155","60062300","Othr Knited Or Crochetd Fbrcs Of Cotton Yarn Of Diffrnt Colr","Kgs","56.0","0.01","0.0"
"2017-07-01","Austria","AUT","40","Europe","150","Western Europe","155","57023210","Carpets,Carpeting And Rugs","Sqm","0.03","1.13","0.0"
"2018-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","53110023","Dyed Wovn Fbrcs Of Paper Yqrn","Sqm","3.71","22.49","0.03"
"2015-11-01","Belgium","BEL","056","Europe","150","Western Europe","155","39259090","Other Builders Ware Of Plastics Nes","Kgs","0.77","1.74","0.0"
"2018-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","40169100","Floor Coverings And Mats","Kgs","916.9","615.54","0.95"
"2018-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","9109923","Celery Powder","Kgs","26.0","39.48","0.05"
"2020-01-01","Spain","ESP","724","Europe","150","Southern Europe","39","25084090","Other Clays, Nes","Kgs","560.0","58.72","0.08"
